VEHIDCODE,ACTUAL_LENGTH,AIR_COEFFICIENT,AIR_DRAG_COEFFICIENT,BITMASK_VEHICLE_INFO,CARGODEF,CARGO_AGE_PERIOD,DUAL_HEADED,ENGINE_CLASS,HEAD_CAPACITY,INTRODUCTION_YEAR,ITEM,LENGTH,LOADINGSPEED,MICS_FLAGS,MISC_FLAGS,MODEL_LIFE,NAME,PASSENGER,POWER,POWER_PER_WAGON,REFIT_COST,RELIABILITY_DECAY,RETIRE_EARLY,RUNNING_COST_BASE,SPEED,SPRITE_ID,TE_COEFFICIENT,TRACK_TYPE,VEHICLE_LIFE,VEHICLE_REGION,VISUAL_FLAG,WAGON_CAPACITY,WAGON_LENGTH,WEIGHT
cargodmu_Germany_DB_691_CargoSprinter,8,,0,DEFAULT_BITMASK,CARGODEF_CONTAINER,DEFAULT_CARGO_AGE_PERIOD,1,CURRENT_ENGINE_CLASS,40,1996,item_cargodmu_Germany_DB_691_CargoSprinter,8,LOADINGSPEEDDEF_CARGO,,"bitmask(TRAIN_FLAG_MU,TRAIN_FLAG_2CC)",VEHICLE_NEVER_EXPIRES,string(str_cargodmu_Germany_DB_691_CargoSprinter),0,710,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,140,DEFAULT_SPRITE_ID,0.17,CURRENT_TRACK_TYPE,25,"REGION(WESTERNEUROPE,NOREGION,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",40,7,56
mglv_wagon_powered,8,0,,DEFAULT_BITMASK,CARGODEF_PASSENGERS,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,1,2000,item_mglv_wagon_powered,8,LOADINGSPEEDDEF_NONE,bitmask(TRAIN_FLAG_2CC),,VEHICLE_NEVER_EXPIRES,string(str_mglv_wagon_powered),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,0,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,REGION,"visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,0
mglv_wagon_unpowered,8,0,,DEFAULT_BITMASK,CARGODEF_PASSENGERS,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,1,2000,item_mglv_wagon_unpowered,8,LOADINGSPEEDDEF_NONE,bitmask(TRAIN_FLAG_2CC),,VEHICLE_NEVER_EXPIRES,string(str_mglv_wagon_unpowered),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,0,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,REGION,"visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,0
mtro_wagon_powered,8,0,,DEFAULT_BITMASK,CARGODEF_PASSENGERS_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,1,1900,item_mtro_wagon_powered,8,LOADINGSPEEDDEF_NONE,bitmask(TRAIN_FLAG_2CC),,VEHICLE_NEVER_EXPIRES,string(str_mtro_wagon_powered),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,0,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,60,REGION,"visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,0
mtro_wagon_unpowered,8,0,,DEFAULT_BITMASK,CARGODEF_PASSENGERS_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,1,1900,item_mtro_wagon_unpowered,8,LOADINGSPEEDDEF_NONE,bitmask(TRAIN_FLAG_2CC),,VEHICLE_NEVER_EXPIRES,string(str_mtro_wagon_unpowered),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,0,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,60,REGION,"visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,0
mu_wagon_powered,8,0,,DEFAULT_BITMASK,CARGODEF_PASSENGERS,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,1,1908,item_mu_wagon_powered,8,LOADINGSPEEDDEF_NONE,bitmask(TRAIN_FLAG_2CC),,VEHICLE_NEVER_EXPIRES,string(str_mu_wagon_powered),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,0,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,60,REGION,"visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,0
mu_wagon_unpowered,8,0,,DEFAULT_BITMASK,CARGODEF_PASSENGERS,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,1,1908,item_mu_wagon_unpowered,8,LOADINGSPEEDDEF_NONE,bitmask(TRAIN_FLAG_2CC),,VEHICLE_NEVER_EXPIRES,string(str_mu_wagon_unpowered),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,0,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,60,REGION,"visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,0
coach_Gen1_Clerestory_Compartment_Coach,6,,0,DEFAULT_BITMASK,CARGODEF_PASSENGERS_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,60,1840,item_coach_Gen1_Clerestory_Compartment_Coach,6,LOADINGSPEEDDEF_COMMUTER,,bitmask(TRAIN_FLAG_2CC),95,string(str_coach_Gen1_Clerestory_Compartment_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,80,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(REGIONTYPE1,OCEANIA,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,28
coach_Gen1_Clerestory_Mail_Coach,6,,0,DEFAULT_BITMASK,CARGODEF_MAIL_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,40,1840,item_coach_Gen1_Clerestory_Mail_Coach,6,LOADINGSPEEDDEF_MAIL,,bitmask(TRAIN_FLAG_2CC),95,string(str_coach_Gen1_Clerestory_Mail_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,90,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(ALLREGION,NOREGION,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,28
coach_Gen1_Clerestory_Regional_Coach,6,,0,DEFAULT_BITMASK,CARGODEF_PASSENGERS_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,50,1840,item_coach_Gen1_Clerestory_Regional_Coach,6,LOADINGSPEEDDEF_INTERCITY,,bitmask(TRAIN_FLAG_2CC),95,string(str_coach_Gen1_Clerestory_Regional_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,90,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(ALLREGION,NOREGION,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,28
