VEHIDCODE,FILENAMES_EXPECTED,SAVE_TO,VEHID_ID_CATEGORY,VEHID_ID,ENGLISH,WEB,IS_POWERED_UNPOWERED_SUNDRY,IS_WAGON_OR_COACH,TRACK_TYPES,PROPERTIES,FLAGS,GRAPHICS_PROPERTIES,ITEM,NAME,INTRODUCTION_YEAR,DUAL_HEADED,COUNTRY,COUNTRY_CODE,ENGINE_CLASS,CARGODEF,HEAD_CAPACITY,LENGTH,LOADINGSPEED,LOADINGSPEED_VALUE,MODEL_LIFE,PASSENGER,WEIGHT,POWER,SPEED,TE_STARTING_KN,TE_COEFFICIENT_CALC,TE_COEFFICIENT_MANUAL,TE_COEFFICIENT,VEHICLE_LIFE,WAGON_CAPACITY,WAGON_LENGTH,PURCHASE_CARGO_CAPACITY,REGION1,REGION2,REGION3,PURCHASECOST_VALUE,RUNNINGCOST_VALUE,COST_CAT,ROLE,IS_TURBINE,MISC_FLAGS_TRAIN_FLAG_2CC,MISC_FLAGS_TRAIN_FLAG_MU,MISC_FLAGS_TRAIN_FLAG_AUTOREFIT,VISUAL_EFFECT_1,VISUAL_EFFECT_2,VISUAL_EFFECT_3,TRACK_TYPE_STANDARD_GAUGE_RAILTYPE_OHLE,TRACK_TYPE_STANDARD_GAUGE_RAILTYPE_25KV,TRACK_TYPE_STANDARD_GAUGE_RAILTYPE_15KV,TRACK_TYPE_STANDARD_GAUGE_RAILTYPE_3KV,TRACK_TYPE_STANDARD_GAUGE_RAILTYPE_1500V,TRACK_TYPE_STANDARD_GAUGE_RAILTYPE_3RD,TRACK_TYPE_STANDARD_GAUGE_RAILTYPE_4TH,TRACK_TYPE_STANDARD_GAUGE_RAILTYPE_DUAL,TRACK_TYPE_STANDARD_GAUGE_RAILTYPE_NONE,TRACK_TYPE_NARROW_GAUGE_RAILTYPE_OHLE,TRACK_TYPE_NARROW_GAUGE_RAILTYPE_25KV,TRACK_TYPE_NARROW_GAUGE_RAILTYPE_15KV,TRACK_TYPE_NARROW_GAUGE_RAILTYPE_3KV,TRACK_TYPE_NARROW_GAUGE_RAILTYPE_1500V,TRACK_TYPE_NARROW_GAUGE_RAILTYPE_3RD,TRACK_TYPE_NARROW_GAUGE_RAILTYPE_4TH,TRACK_TYPE_NARROW_GAUGE_RAILTYPE_DUAL,TRACK_TYPE_NARROW_GAUGE_RAILTYPE_NONE,TRACK_TYPE_BROAD_GAUGE_RAILTYPE_OHLE,TRACK_TYPE_BROAD_GAUGE_RAILTYPE_25KV,TRACK_TYPE_BROAD_GAUGE_RAILTYPE_15KV,TRACK_TYPE_BROAD_GAUGE_RAILTYPE_3KV,TRACK_TYPE_BROAD_GAUGE_RAILTYPE_1500V,TRACK_TYPE_BROAD_GAUGE_RAILTYPE_3RD,TRACK_TYPE_BROAD_GAUGE_RAILTYPE_4TH,TRACK_TYPE_BROAD_GAUGE_RAILTYPE_DUAL,TRACK_TYPE_BROAD_GAUGE_RAILTYPE_NONE,TRACK_TYPE_MONO,TRACK_TYPE_MGLV,TRACK_TYPE_MTRO,CHECK_ANY_TT,PANTOGRAPH_POSITION,TEMPLATE_ID,TEMPLATE_AMENDMENT_CODE
mglv_Maglev_Wagon_Powered,Maglev_Wagon_Powered,src\Special,ID_RANGE_UNIT_WAGONS_MGLV,13005,Maglev Unit Wagon,,True,True,True,True,True,True,item_mglv_Maglev_Wagon_Powered,str_mglv_Maglev_Wagon_Powered,2000,0,,,MAGLEV,PASSENGERS,1,8,NONE,0,VEHICLE_NEVER_EXPIRES,1,0.0,0,0,0.0,0.0,0.3,0.3,25,0,0,0,ALL_REGION,NO_REGION,NO_CONCEPT,PURCHASECOST_MAGLEVMU_VALUE,RUNNINGCOST_MAGLEVMU_VALUE,MAGLEVMU,Powered/Unpowered Sundry,False,True,,,DISABLE,0,DISABLE_WAGON_POWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,True,,TPL_01,F
mglv_Maglev_Wagon_Unpowered,Maglev_Wagon_Unpowered,src\Special,ID_RANGE_UNIT_WAGONS_MGLV,13004,Maglev Unit Wagon,,True,True,True,True,True,True,item_mglv_Maglev_Wagon_Unpowered,str_mglv_Maglev_Wagon_Unpowered,2000,0,,,MAGLEV,PASSENGERS,1,8,NONE,0,VEHICLE_NEVER_EXPIRES,1,0.0,0,0,0.0,0.0,0.3,0.3,25,0,0,0,ALL_REGION,NO_REGION,NO_CONCEPT,PURCHASECOST_MAGLEVMU_VALUE,RUNNINGCOST_MAGLEVMU_VALUE,MAGLEVMU,Powered/Unpowered Sundry,False,True,,,DISABLE,0,DISABLE_WAGON_POWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,True,,TPL_01,F
rbs_Austria_NOLB_1,Austria_NOLB_1,src\Railbus\Railbus_steam,ID_RANGE_RBS,1000,NÖLB 1,https://de.wikipedia.org/wiki/N%C3%96LB_1%E2%80%933,False,False,True,True,True,True,item_rbs_Austria_NOLB_1,str_rbs_Austria_NOLB_1,1903,0,Austria,AT,STEAM,PASSENGERS,22,5,COMMUTER,40,45,1,8.0,39,35,0.0,0.0,0.18,0.18,15,0,0,0,WESTERN_EUROPE,NO_REGION,NO_CONCEPT,PURCHASECOST_STEAMRAILBUS_VALUE,RUNNINGCOST_STEAMRAILBUS_VALUE,STEAMRAILBUS,Commuter / Urban,False,True,,,STEAM,-3,DISABLE_WAGON_POWER,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,True,,TPL_01,B
rbs_Italy_FS_86,Italy_FS_86,src\Railbus\Railbus_steam,ID_RANGE_RBS,1001,FS 86,https://it.wikipedia.org/wiki/Automotrice_FS_86,False,False,True,True,True,True,item_rbs_Italy_FS_86,str_rbs_Italy_FS_86,1906,0,Italy,IT,STEAM,PASSENGERS,86,8,COMMUTER,40,45,1,47.0,170,55,0.0,0.0,0.08,0.08,15,0,0,0,SOUTHERN_EUROPE,NO_REGION,NO_CONCEPT,PURCHASECOST_STEAMRAILBUS_VALUE,RUNNINGCOST_STEAMRAILBUS_VALUE,STEAMRAILBUS,Commuter / Urban,False,True,,,STEAM,-3,DISABLE_WAGON_POWER,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,TPL_03,B
rbs_Australia_Victorian_Railways_Rowan_Railmotor,Australia_Victorian_Railways_Rowan_Railmotor,src\Railbus\Railbus_steam,ID_RANGE_RBS,1002,Victorian Railways Rowan Railmotor,https://en.wikipedia.org/wiki/Rowan_steam_railmotor,False,False,True,True,True,True,item_rbs_Australia_Victorian_Railways_Rowan_Railmotor,str_rbs_Australia_Victorian_Railways_Rowan_Railmotor,1883,0,Australia,AU,STEAM,PASSENGERS,42,6,COMMUTER,40,45,1,15.0,40,48,16.0,0.10873258579680598,0.34,0.109,15,0,0,0,OCEANIA,NO_REGION,NO_CONCEPT,PURCHASECOST_STEAMRAILBUS_VALUE,RUNNINGCOST_STEAMRAILBUS_VALUE,STEAMRAILBUS,Commuter / Urban,False,True,,,STEAM,0,DISABLE_WAGON_POWER,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,True,,TPL_03,B
rbs_Switzerland_UeBB_Czm_1_2,Switzerland_UeBB_Czm_1_2,src\Railbus\Railbus_steam,ID_RANGE_RBS,1003,UeBB Czm 1/2,https://de.wikipedia.org/wiki/UeBB_CZm_1/2,False,False,True,True,True,True,item_rbs_Switzerland_UeBB_Czm_1_2,str_rbs_Switzerland_UeBB_Czm_1_2,1902,0,Switzerland,CH,STEAM,PASSENGERS,30,5,COMMUTER,40,45,1,21.0,99,45,0.0,0.0,0.34,0.34,15,0,0,0,WESTERN_EUROPE,NO_REGION,NO_CONCEPT,PURCHASECOST_STEAMRAILBUS_VALUE,RUNNINGCOST_STEAMRAILBUS_VALUE,STEAMRAILBUS,Commuter / Urban,False,True,,,STEAM,0,DISABLE_WAGON_POWER,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,TPL_03,B
rbs_Germany_Bavarian_MCCi,Germany_Bavarian_MCCi,src\Railbus\Railbus_steam,ID_RANGE_RBS,1004,K.Bay.Sts.B. MCCi,https://en.wikipedia.org/wiki/Bavarian_MCCi,False,False,True,True,True,True,item_rbs_Germany_Bavarian_MCCi,str_rbs_Germany_Bavarian_MCCi,1906,0,Germany,DE,STEAM,PASSENGERS,52,8,COMMUTER,40,45,1,32.0,195,50,0.0,0.0,0.34,0.34,15,0,0,0,WESTERN_EUROPE,NO_REGION,NO_CONCEPT,PURCHASECOST_STEAMRAILBUS_VALUE,RUNNINGCOST_STEAMRAILBUS_VALUE,STEAMRAILBUS,Commuter / Urban,False,True,,,STEAM,0,DISABLE_WAGON_POWER,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,TPL_01,B
rbs_South_Africa_CSAR_Railmotor,South_Africa_CSAR_Railmotor,src\Railbus\Railbus_steam,ID_RANGE_RBS,1005,CSAR Railmotor,https://en.wikipedia.org/wiki/CSAR_Railmotor,False,False,True,True,True,True,item_rbs_South_Africa_CSAR_Railmotor,str_rbs_South_Africa_CSAR_Railmotor,1906,0,South Africa,ZA,STEAM,PASSENGERS,50,8,COMMUTER,40,45,1,48.0,40,48,28.26,0.06001529051987768,0.08,0.06,15,0,2,0,AFRICA,NO_REGION,NO_CONCEPT,PURCHASECOST_STEAMRAILBUS_VALUE,RUNNINGCOST_STEAMRAILBUS_VALUE,STEAMRAILBUS,Commuter / Urban,False,True,,,STEAM,0,DISABLE_WAGON_POWER,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,True,,TPL_32,B
rbs_Australia_Victorian_Railways_Motor_Car_3,Australia_Victorian_Railways_Motor_Car_3,src\Railbus\Railbus_steam,ID_RANGE_RBS,1006,Victorian Railways Motor Car 3,https://en.wikipedia.org/wiki/Kerr_Stuart_steam_railmotor,False,False,True,True,True,True,item_rbs_Australia_Victorian_Railways_Motor_Car_3,str_rbs_Australia_Victorian_Railways_Motor_Car_3,1912,0,Australia,AU,STEAM,PASSENGERS,32,6,COMMUTER,40,45,1,42.0,91,55,0.0,0.0,0.14,0.14,15,0,0,0,OCEANIA,NO_REGION,NO_CONCEPT,PURCHASECOST_STEAMRAILBUS_VALUE,RUNNINGCOST_STEAMRAILBUS_VALUE,STEAMRAILBUS,Commuter / Urban,False,True,,,STEAM,0,DISABLE_WAGON_POWER,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,True,,TPL_03,B
rbs_Austria_kkStB_4_0,Austria_kkStB_4_0,src\Railbus\Railbus_steam,ID_RANGE_RBS,1007,kkStB 4.0,https://de.wikipedia.org/wiki/KkStB_4,False,False,True,True,True,True,item_rbs_Austria_kkStB_4_0,str_rbs_Austria_kkStB_4_0,1880,0,Austria,AT,STEAM,GOODS_RAILBUS,14,5,CARGO,20,45,0,23.0,28,80,0.0,0.0,0.07,0.07,15,0,0,0,WESTERN_EUROPE,NO_REGION,NO_CONCEPT,PURCHASECOST_STEAMRAILBUS_VALUE,RUNNINGCOST_STEAMRAILBUS_VALUE,STEAMRAILBUS,Light Freight,False,True,,,STEAM,-3,DISABLE_WAGON_POWER,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,TPL_03,B
